road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,bun,ji,hjd_cd,public_price,jimok_cd,area,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,uploaded_mo,uploaded_day,price_per_area
4,441.0,2020,06,29,11470,10200,0131,0125,602,5065000,27,441.0,13,230,02,07,01,2020,01,01,9891292.5
1,70.0,2016,04,9,11740,10900,0452,0030,109,5771000,08,70.0,22,210,02,04,08,2020,01,01,5857142.9
4,33.0,2019,12,27,11500,10400,0050,0001,401,4805000,09,33.0,33,410,02,04,02,2020,01,01,10394545.5
1,155.0,2016,04,29,11440,10100,0591,0075,000,4920000,08,155.0,14,150,03,07,02,2020,01,01,1270516.1
1,299.5,2018,12,11,11530,10300,0127,0009,103,4980000,08,299.5,33,210,02,04,08,2020,01,01,10884808.0
1,159.7,2019,03,7,11170,10100,0446,0014,501,3675000,08,159.7,14,110,03,07,10,2020,01,01,4558547.3
3,112.0,2018,11,9,11530,10200,0565,0010,205,4848000,08,112.0,14,230,02,07,04,2020,01,01,3571428.6
1,39.0,2020,03,5,11590,10400,0431,0001,201,3706000,08,39.0,14,150,02,04,10,2020,01,01,13487179.5
4,390.0,2016,01,27,11590,10200,0506,0000,203,6423000,08,390.0,15,240,03,04,03,2020,01,01,5769230.8
4,44.0,2018,02,21,11110,18300,0290,0023,906,1125000,01,44.0,13,720,04,05,01,2020,01,01,1000000.0
1,328.0,2019,04,30,11320,10800,0425,0010,001,1996000,01,321.0,13,130,02,04,09,2020,01,01,2112804.9
2,147.0,2016,05,4,11650,10800,1623,0007,801,9040000,08,147.0,15,220,02,03,06,2020,01,01,8925714.3
4,160.0,2020,08,10,11110,18400,0162,0023,905,2855000,08,160.0,14,150,03,04,01,2020,01,01,5779062.5
4,52.2,2018,08,24,11140,13600,0032,0017,004,11650000,08,52.2,22,220,02,04,03,2020,01,01,15157088.1
4,571.0,2019,12,12,11170,10700,0017,0019,503,15930000,08,571.0,22,210,03,04,01,2020,01,01,27070893.2
