road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,hjd_cd,public_price,jimok_cd,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,price_per_area
1,45.0,2020,9,11,11590,10400,201,3042000,8,15,150,3,4,10,2020,9111111.1
2,102.6,2019,11,7,11290,13400,909,4060000,8,16,110,2,4,6,2020,5360623.8
0,188.0,2017,2,15,11290,10300,902,2241000,8,13,150,3,1,12,2020,1815000.0
0,188.0,2020,10,15,11650,10100,0,4947000,8,14,150,3,4,12,2020,8090000.0
3,165.0,2019,8,23,11170,13100,517,3303000,8,16,910,2,4,5,2020,37072727.3
2,349.3,2018,11,10,11470,10200,603,3788000,8,14,330,2,3,7,2020,7672487.8
0,56.0,2018,6,5,11590,10900,219,996600,5,16,910,0,0,0,2020,1179464.3
1,412.0,2019,11,22,11110,18300,906,2732000,8,11,120,4,4,8,2020,5189320.4
3,967.0,2018,1,15,11650,11100,0,573800,2,44,510,2,3,4,2020,827300.9
1,92.0,2020,12,30,11545,10300,560,2909000,8,16,110,3,7,8,2020,5185000.0
1,46.0,2019,4,20,11440,11100,0,1544000,8,14,910,3,3,8,2020,2391304.3
0,411.0,2017,4,18,11260,10600,20,1056000,1,14,910,0,0,0,2020,613138.7
2,265.0,2018,12,19,11545,10100,510,3280000,8,14,310,2,7,6,2020,4830188.7
1,220.7,2020,3,6,11110,15500,910,13180000,8,22,210,2,4,9,2020,25736293.6
4,536.9,2016,6,10,11650,10100,0,9856000,8,15,240,2,3,2,2020,10803892.7
0,49.9,2019,6,14,11560,12100,605,1293000,8,16,910,0,0,0,2020,3628857.7
