road_type,lot_ar,contract_ym,contract_day,price,key
8m미만,69.4,201911,25,462200000.0,41395570226683005760
8m미만,968.0,201812,12,640000000.0,63841810078374095050
8m미만,103.0,201604,18,195000000.0,55382405376907393940
8m미만,48.0,201807,11,370800000.0,41180958307330800910
-,48.0,201909,25,213330000.0,80228976315837116770
25m이상,264.0,202012,16,2548000000.0,51429853042573423611
12m미만,320.7,201806,8,2222450000.0,83736117964295863051
8m미만,47.3,202012,9,310290000.0,56158341347193583861
25m이상,152.3,201812,3,1682590000.0,28356377676962622150
8m미만,91.3,202007,9,3057060000.0,18355531074097222941
25m이상,162.0,202004,23,1311550000.0,73493378586738647480
-,92.0,202010,12,185600000.0,58797220093919155460
8m미만,60.0,201604,21,124600000.0,26065142490852197880
25m이상,577.7,201612,29,2430000000.0,81950007607611061340
12m미만,145.0,202012,8,2126000000.0,35938610522766715630
8m미만,39.0,201903,11,156000000.0,91021843029076902210
8m미만,43.0,202001,6,150000000.0,7682324584228915561
8m미만,58.2,201911,21,250000000.0,63534283471545339010
8m미만,38.0,201912,22,148000000.0,87668958717292524671
25m미만,130.0,202010,21,1218750000.0,3683542959638642181
25m미만,262.4,201806,28,1190000000.0,51596969467889736481
25m이상,86.2,201904,15,2227430000.0,12973461904260151280
-,545.5,202004,2,1294690000.0,78924016320402121941
-,159.0,201802,22,50000000.0,24440361009559282271
12m미만,82.0,201804,23,768000000.0,83540141847524075610
8m미만,301.0,201802,13,1210000000.0,78525230721775594131
8m미만,60.0,202003,2,360000000.0,37468376846747763231
25m이상,473.1,201609,13,7800000000.0,26085893861155722370
25m이상,350.0,201906,24,1575700000.0,69578577140331657000
8m미만,671.0,201610,25,600000000.0,70925212931263338301
-,122.0,201911,8,40000000.0,8561787633363728190
-,170.0,201707,20,823550000.0,15985326080328622911
-,86.6,201805,18,1200000000.0,80325478141997067570
8m미만,265.0,202001,30,240490000.0,39811698733299150120
8m미만,675.0,202005,21,542250000.0,51721180813937121481
8m미만,137.9,201812,18,400480000.0,8475626766431091300
12m미만,265.0,201802,10,740000000.0,45381438427243393401
8m미만,102.2,201911,7,410000000.0,5897826160790154830
25m이상,49.0,201910,21,625730000.0,52280485939015334681
12m미만,175.8,201806,12,3875000000.0,12188701581074466880
-,99.0,201904,23,280000000.0,42857594874980706081
-,43.0,201801,29,143620000.0,82307825310769091510
25m이상,441.3,201906,26,2900000000.0,25077241963817997881
8m미만,71.0,202005,27,105000000.0,84026443872614841260
25m이상,64.1,201908,1,1165230000.0,77957851568183657251
8m미만,515.0,201903,26,1100000000.0,42584613917215789180
8m미만,75.7,201803,14,900000000.0,42801294160349792161
8m미만,42.4,201812,12,496840000.0,25145280415958918371
8m미만,582.0,201910,17,520000000.0,19711428925468731890
8m미만,50.9,201606,11,800000000.0,6822569634160004460
-,542.0,201911,12,400000000.0,67032274515269896100
12m미만,160.7,201806,12,3875000000.0,51152108970706366741
8m미만,132.0,202002,21,888360000.0,61789970330515965570
25m이상,86.0,201912,27,893840000.0,430941842385687051
8m미만,306.1,201903,13,2805000000.0,16051811809625122211
8m미만,36.0,201809,20,193550000.0,17214480017452196970
25m이상,331.0,201605,24,1980000000.0,41495160600683741431
8m미만,159.0,201803,29,350000000.0,83561411563422234011
25m이상,69.0,201906,24,324300000.0,28526439202415671321
8m미만,181.8,201604,26,2636560000.0,21979377729162849580
25m미만,57.0,202003,2,677600000.0,87436871249062800780
8m미만,364.0,202011,23,6850000000.0,74695704398717034140
-,96.0,201912,7,525000000.0,1525930125219573391
8m미만,115.7,201901,31,2712500000.0,82550287165622897260
8m미만,332.4,201601,25,3000000000.0,39654235221964907151
8m미만,146.0,201605,23,412510000.0,43177728737581237900
8m미만,314.0,201606,27,105000000.0,9203582147159896451
25m미만,162.3,201806,27,1470000000.0,16020673246310393720
8m미만,87.3,202011,27,1300000000.0,51580407855015522560
8m미만,63.0,202004,8,946240000.0,71908215211974698930
25m미만,254.4,201909,10,3112000000.0,69198441051179367180
8m미만,139.0,201903,18,1118110000.0,33536408062410839200
12m미만,982.0,201812,10,5079000000.0,65100248828134653571
12m미만,129.9,201609,28,800000000.0,41862977712785087131
8m미만,51.6,202010,20,600000000.0,61583940144001971711
8m미만,64.8,202012,15,1494560000.0,68635667568102244790
12m미만,127.0,202004,20,163870000.0,16471016127887649450
-,167.3,201603,17,780000000.0,77027254096312076771
