road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,hjd_cd,public_price,jimok_cd,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr
4,353.0,2018,3,29,11500,10400,401,6000000,28,33,210,2,7,1,2020
1,455.0,2016,6,17,11290,10100,901,2201000,8,11,150,2,4,8,2018
0,53.0,2020,1,3,11200,10700,0,3921000,8,15,150,3,7,12,2020
2,87.0,2019,11,27,11530,10100,101,1402000,28,33,910,2,3,7,2020
1,836.0,2016,9,2,11500,11200,112,148000,2,44,610,2,3,8,2020
1,65.4,2018,8,20,11290,11400,904,3830000,8,15,110,2,2,8,2020
1,460.0,2016,5,10,11530,11000,110,3385000,8,14,230,2,4,9,2018
0,91.0,2016,8,9,11350,10500,13,3760000,8,14,140,2,7,2,2020
3,619.0,2016,12,29,11530,10600,601,4120000,8,33,140,2,7,2,2020
0,198.0,2017,1,10,11590,10900,220,6000000,2,16,140,2,4,5,2020
1,37.7,2020,5,10,11110,17500,916,4098000,8,16,330,2,7,10,2020
1,189.7,2020,12,14,11140,11300,1,8322000,8,22,210,2,4,10,2020
1,52.6,2018,5,9,11110,11200,903,5047000,8,14,150,2,7,8,2020
1,93.8,2018,5,9,11545,10200,540,2984000,8,14,330,3,4,9,2020
2,153.0,2019,4,27,11305,10300,610,2626000,8,14,330,2,4,6,2020
1,139.0,2019,3,18,11590,10400,201,3594000,8,14,110,2,7,10,2020
2,165.0,2016,1,25,11110,18300,906,2548000,8,11,110,4,4,6,2020
0,50.0,2017,8,11,11305,10300,610,1794000,8,15,130,2,8,10,2018
1,310.0,2020,12,24,11305,10100,534,1783000,8,14,110,3,4,10,2020
1,187.0,2020,10,23,11740,10700,107,713200,8,44,510,2,7,8,2020
1,404.0,2020,6,29,11470,10200,602,3535000,8,14,150,2,3,8,2020
1,295.6,2020,11,23,11140,14000,4,6033000,11,15,230,2,3,8,2020
1,483.0,2016,5,2,11500,11200,112,196000,2,44,510,2,7,8,2020
4,94.0,2019,12,27,11500,10400,401,4805000,8,33,410,2,4,2,2020
4,55.0,2016,12,29,11530,10600,601,4120000,5,33,140,2,7,2,2020
4,303.3,2019,7,24,11305,10200,600,3192000,8,15,240,2,4,1,2020
4,280.8,2020,5,15,11320,10800,2,4940000,8,15,230,2,4,3,2020
1,101.0,2016,6,17,11290,10100,901,1802000,8,11,150,3,5,10,2018
1,40.5,2019,11,22,11140,15700,7,7580000,8,22,210,2,4,10,2020
3,156.6,2019,5,22,11140,13400,6,14800000,8,22,210,2,4,5,2020
1,99.5,2016,11,15,11590,10800,218,2412000,8,14,130,3,8,10,2020
0,202.0,2020,5,8,11305,10100,545,2273000,8,22,910,2,0,0,2020
1,51.1,2018,4,23,11230,10300,1,2435000,8,14,110,2,2,10,2019
1,159.0,2018,11,12,11290,13400,909,2960000,8,14,150,2,4,8,2020
3,67.0,2018,10,25,11590,10900,220,5380000,2,14,240,2,4,4,2020
0,163.0,2017,7,8,11380,10200,101,677400,5,14,720,3,4,12,2020
4,873.0,2019,10,8,11110,18300,906,4589000,8,14,230,2,7,2,2020
1,227.0,2016,3,21,11620,10100,545,3230000,8,14,130,2,7,8,2020
1,38.9,2020,4,29,11560,11900,605,3220000,8,33,410,2,7,8,2020
1,231.4,2019,6,29,11215,10300,1,6879000,8,16,230,2,4,8,2020
0,60.0,2020,8,31,11590,10700,214,1069000,8,14,910,0,0,0,2020
4,95.0,2019,7,15,11440,11100,0,5400000,8,15,150,2,7,2,2020
1,143.3,2020,7,16,11650,10100,0,6589000,8,14,150,2,1,8,2020
3,107.1,2019,4,12,11140,13500,6,8646000,8,22,230,2,5,12,2020
1,47.0,2016,10,10,11500,10900,903,144700,5,44,750,4,7,8,2020
3,226.0,2020,4,1,11350,10500,13,3900000,8,16,330,2,4,5,2020
3,178.1,2018,8,22,11200,12200,0,5723000,8,16,210,2,4,4,2020
4,609.0,2016,7,12,11290,13800,913,3110000,2,14,150,2,4,5,2020
0,34.0,2019,1,26,11380,10100,0,1032000,8,14,910,0,0,0,2020
2,105.0,2019,7,23,11500,10800,108,4035000,8,14,320,2,4,6,2020
4,742.5,2020,2,25,11110,17700,908,19000000,8,22,210,2,4,2,2020
4,157.0,2018,9,7,11560,13200,680,3900000,8,14,150,3,7,2,2020
1,86.0,2019,9,7,11140,16200,8,5710000,8,22,110,2,4,10,2020
2,43.0,2019,5,3,11290,13500,910,2480000,1,14,160,2,5,6,2020
4,351.0,2020,12,16,11170,13200,519,8225000,8,15,240,2,7,3,2020
4,96.0,2018,11,3,11290,13900,914,4217000,8,14,330,2,4,3,2020
1,229.0,2020,1,13,11590,10700,213,4300000,8,14,110,3,3,8,2020
0,993.0,2016,7,11,11650,11100,0,62800,5,44,720,4,7,12,2020
0,36.0,2019,9,6,11380,10600,0,927300,8,14,910,0,0,0,2020
1,194.0,2019,6,10,11560,13200,630,3440000,5,14,150,3,7,5,2020
1,310.0,2016,6,10,11620,10200,765,2575000,28,13,160,3,4,8,2020
0,104.0,2018,12,31,11500,10900,903,370200,2,43,530,3,7,12,2020
4,90.0,2020,12,1,11380,10600,108,7640000,8,16,240,2,4,3,2020
0,347.0,2018,2,8,11500,11000,110,335700,8,44,530,3,7,12,2020
1,136.0,2020,2,28,11590,10700,215,2580000,8,13,160,3,3,8,2020
4,710.0,2019,12,27,11500,10400,401,4805000,9,33,410,2,4,2,2020
1,166.8,2020,7,1,11710,10400,11,6336000,28,16,150,2,1,8,2020
3,751.0,2020,2,28,11350,10500,15,558100,1,44,530,2,4,4,2020
0,272.0,2016,1,7,11740,10600,106,3822000,8,14,130,2,4,4,2020
1,128.9,2019,4,17,11140,14500,6,6545000,8,22,210,2,4,10,2020
1,460.0,2016,10,28,11290,10100,901,2299000,8,11,110,4,2,10,2020
2,349.3,2018,11,10,11470,10200,603,3788000,8,14,330,2,3,7,2020
1,392.0,2020,7,8,11290,10100,901,2024000,8,11,160,4,8,10,2020
2,264.8,2019,6,19,11230,10200,1,6650000,8,22,210,2,3,6,2020
1,80.0,2016,9,29,11650,10300,0,2979000,8,44,150,2,7,8,2020
1,76.0,2018,1,30,11650,10900,0,310000,2,44,510,2,7,10,2020
4,199.1,2016,6,3,11170,11600,507,5231000,8,13,210,2,3,3,2020
1,348.0,2016,3,17,11530,10900,109,1586000,8,13,430,3,7,8,2020
1,119.3,2018,7,31,11560,10200,535,5416000,8,22,230,2,4,8,2020
3,66.7,2020,11,5,11410,11000,0,4416000,8,14,160,3,7,4,2020
3,152.0,2016,6,1,11590,10900,220,5806000,8,14,210,2,2,4,2020
1,534.0,2020,9,21,11650,10300,0,3010000,8,44,110,2,2,8,2020
2,70.0,2016,12,2,11290,13600,911,5568000,8,22,210,2,4,7,2020
0,73.0,2020,10,21,11380,10400,0,904200,8,14,910,0,0,0,2020
1,261.0,2018,3,23,11650,11000,0,685000,1,44,510,2,7,10,2020
0,160.0,2017,3,10,11290,10100,901,375500,5,11,730,3,7,12,2020
0,186.2,2020,8,28,11320,10700,1,1577000,8,16,910,2,3,0,2020
3,166.8,2018,2,6,11710,11100,7,6780000,8,14,230,2,3,4,2020
3,62.5,2016,9,8,11140,11000,3,28300000,8,22,230,2,1,6,2020
0,343.0,2016,12,30,11560,10100,515,1884000,15,33,910,2,0,0,2020
4,86.2,2019,4,15,11440,11000,0,16910000,8,16,220,2,4,3,2020
3,544.4,2020,10,15,11110,16200,911,9980000,8,22,230,2,4,4,2020
0,50.0,2018,4,27,11230,10500,0,1087000,1,14,910,0,0,0,2020
2,59.6,2019,4,8,11230,10200,0,3034000,8,13,160,2,4,6,2019
1,34.9,2020,5,19,11545,10300,560,3355000,8,16,230,2,2,8,2020
4,50.6,2016,6,29,11560,11400,560,6160000,8,33,210,2,2,3,2020
0,546.0,2017,2,23,11380,11400,119,450000,28,44,530,2,7,10,2020
2,172.2,2019,5,31,11140,10500,3,19530000,8,21,230,2,5,6,2020
1,34.0,2016,6,27,11410,11800,2,3000000,8,14,150,2,4,5,2020
1,42.0,2016,5,23,11350,10600,0,3280000,8,14,310,2,7,8,2020
1,327.0,2020,7,13,11500,10900,902,5745000,8,23,210,2,7,8,2020
1,39.0,2020,3,5,11590,10400,201,3706000,8,14,150,2,4,10,2020
0,230.0,2018,1,29,11440,10900,0,4140000,27,14,150,3,7,3,2020
0,48.0,2016,10,6,11320,10700,1,124000,5,43,720,3,7,12,2020
1,264.0,2019,2,19,11620,10200,665,2640000,5,13,130,3,4,8,2020
1,316.7,2019,5,3,11110,10100,901,4017000,8,13,150,3,2,8,2020
4,109.0,2016,11,21,11410,11800,3,3785000,8,15,140,2,7,2,2020
1,179.0,2019,3,25,11350,10500,11,885400,1,44,150,2,7,8,2020
2,46.0,2018,12,26,11440,10200,0,9027000,8,15,310,2,4,6,2020
0,72.7,2017,4,11,11110,11700,903,8778000,8,22,910,0,0,0,2020
0,451.0,2020,10,8,11740,10600,106,614900,2,44,510,2,4,12,2020
0,661.0,2016,11,15,11740,10700,107,527800,1,44,510,2,4,12,2020
1,56.2,2016,9,27,11230,10200,3,2861000,8,15,110,2,2,10,2020
1,296.0,2016,12,28,11380,11400,119,450000,28,44,530,2,7,10,2020
0,96.0,2020,6,1,11380,10100,118,966900,15,14,910,0,0,0,2020
1,133.0,2019,3,2,11590,10200,204,3257000,8,14,110,3,7,10,2020
1,58.0,2016,4,22,11260,10100,7,2628000,8,14,110,2,4,9,2020
4,387.6,2019,5,14,11470,10300,705,3796000,8,15,240,2,3,1,2020
1,38.0,2019,12,27,11290,10100,901,2284000,5,11,110,3,7,10,2020
0,50.0,2018,4,18,11650,10400,0,280300,2,44,510,3,7,12,2020
4,188.0,2019,12,31,11290,13600,911,3770000,8,15,990,2,7,3,2020
1,102.0,2016,4,5,11380,10300,102,3071000,8,14,130,2,4,8,2020
0,330.0,2020,5,4,11740,10600,106,614900,2,44,510,2,4,12,2020
1,121.0,2016,1,21,11140,13900,4,4379000,8,13,320,3,7,8,2020
1,43.6,2019,11,7,11290,13400,909,3585000,8,16,110,2,4,11,2020
0,36.0,2017,5,17,11500,10500,105,2630000,1,33,160,2,4,8,2020
3,59.8,2018,10,7,11110,14000,904,10070000,8,13,240,2,7,4,2019
1,185.0,2016,2,18,11110,18300,906,2480000,8,11,110,4,4,8,2020
1,72.7,2020,11,3,11440,11000,0,5971000,8,22,330,2,3,8,2020
0,205.0,2020,2,24,11290,13800,913,1026000,8,14,910,0,0,0,2020
3,54.6,2020,1,20,11140,16500,14,9568000,8,22,210,2,4,4,2020
4,171.0,2016,6,21,11680,10300,0,14210000,8,14,150,2,1,1,2020
3,63.0,2020,3,10,11530,10700,704,3906000,8,15,410,2,7,5,2020
1,87.0,2018,8,6,11530,10100,101,3914000,8,16,420,2,4,10,2020
4,49.0,2016,2,18,11290,12500,906,6095000,12,15,210,2,2,3,2020
4,106.0,2019,1,4,11740,10700,107,909700,1,44,510,2,7,1,2020
