road_type,lot_ar,contract_yr,contract_mo,contract_day,latitude,longitude,sgg_cd,bjd_cd,bun,ji,hjd_cd,public_price,jimok_cd,area,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,uploaded_mo,uploaded_day,price_per_area
3,95.0,2020,04,22,37.609783103343034,127.03493862463509,11290,13600,0099,0028,911,5499000,08,95.0,15,240,02,05,05,2020,01,01,5420000.0
4,357.0,2016,10,31,37.50538705670958,126.94121913260445,11590,10200,0015,0026,204,7148000,05,357.0,15,230,02,07,02,2020,01,01,6256750.7
2,53.0,2016,12,12,37.58440587114759,126.93632902701582,11410,11100,0361,0166,001,3251000,08,53.0,14,330,02,07,06,2020,01,01,1924528.3
1,34.0,2019,07,29,37.52299754601581,126.99321325784507,11170,13300,0048,0012,000,3890000,08,34.0,15,150,03,02,08,2020,01,01,9455000.0
1,78.3,2020,10,20,37.543479763597354,126.94913423835884,11440,10900,0168,0034,000,4286000,08,78.3,16,150,02,07,10,2020,01,01,20061047.3
4,247.9,2020,02,26,37.56630905291263,127.00267863116565,11140,15100,0111,0001,007,13420000,08,247.9,22,210,02,07,03,2020,01,01,28237192.4
1,42.0,2016,07,8,37.5465585610346,127.05928257476225,11200,11500,0278,0008,000,5424000,08,42.0,33,430,02,04,08,2020,01,01,3880714.3
0,387.0,2019,06,29,37.544581149312386,127.15909265387538,11740,10100,0058,0005,101,164200,05,387.0,44,720,03,07,12,2020,01,01,1033591.7
3,363.0,2019,06,11,37.55348974632024,126.76825148252196,11500,11200,0594,0005,112,1536000,28,363.0,44,210,02,04,04,2020,01,01,630991.7
3,258.0,2020,08,1,37.50015732971558,126.90203431373517,11560,13200,0405,0021,670,3420000,28,258.0,14,320,02,01,04,2020,01,01,18992248.1
1,127.2,2016,04,30,37.50415891236087,126.91196985571897,11560,13200,0240,0014,660,3900000,08,127.2,14,150,03,07,02,2020,01,01,4268867.9
1,51.0,2020,12,30,37.610829315203056,127.03450360547492,11290,13600,0079,0053,911,3497000,08,51.0,15,150,02,04,10,2020,01,01,13254902.0
1,35.7,2019,04,6,37.55728907406394,126.91054704517596,11440,12000,0438,0012,000,1551000,08,35.7,14,910,02,03,10,2020,01,01,2801120.4
3,74.2,2018,07,21,37.57822233783116,127.04395408223846,11230,10400,0622,0009,002,7240000,08,74.2,22,230,02,04,12,2020,01,01,7142857.1
0,185.0,2019,10,31,37.50673686884359,126.94502945598359,11590,10200,0024,0115,204,1244000,08,185.0,14,910,00,00,00,2020,01,01,2771837.8
1,97.9,2018,06,6,37.50343228822258,126.92502723798955,11590,10800,0378,0018,218,3678000,08,97.9,14,110,02,03,08,2020,01,01,7405515.8
3,43.4,2019,07,17,37.559814841021634,126.98350314142692,11140,12200,0010,0027,003,18410000,08,43.4,22,220,02,04,04,2020,01,01,69637096.8
1,216.2,2020,12,18,37.54834208130738,126.91422312451871,11440,12200,0373,0012,000,10120000,08,216.2,22,230,02,08,08,2020,01,01,30249768.7
4,645.0,2019,12,27,37.5672917428722,126.84747744246421,11500,10400,0049,0003,401,4805000,09,645.0,33,410,02,04,02,2020,01,01,10394620.2
1,82.0,2018,10,15,37.49422151573044,126.93711348177325,11590,10200,0283,0212,205,2681000,08,82.0,13,130,04,04,09,2020,01,01,3706097.6
0,63.0,2020,04,28,37.62588435829467,126.91536104128795,11380,10400,0009,0053,000,775500,08,63.0,14,910,00,00,00,2020,01,01,2063492.1
1,178.8,2016,05,1,37.60026578602065,127.10603628189183,11260,10500,0133,0035,016,2685000,11,178.8,15,150,02,02,08,2020,01,01,3034228.2
3,387.0,2020,04,13,37.50535759186572,126.93705167872254,11590,10200,0363,0005,204,5078000,08,387.0,15,330,03,07,04,2020,01,01,32144702.8
1,195.0,2018,04,21,37.60652667931941,126.99444231561051,11290,13300,0941,0005,908,1300000,08,195.0,44,150,03,04,08,2020,01,01,1692307.7
4,116.0,2020,06,23,37.606259728911695,127.06713595463586,11290,13900,0042,0016,914,3146000,08,116.0,14,110,02,04,02,2020,01,01,4698275.9
1,159.0,2019,10,16,37.56007654880056,127.13601938732018,11740,10700,0277,0016,107,774300,08,159.0,44,510,02,07,08,2020,01,01,2276729.6
4,44.0,2020,11,12,37.56647909200499,127.00099214786785,11140,15100,0270,0036,007,16700000,08,44.0,22,210,02,03,01,2020,01,01,23742045.5
2,81.3,2018,03,26,37.537821370906165,127.06910831554995,11215,10500,0003,0006,001,10250000,08,81.3,16,310,02,02,02,2020,01,01,19723739.2
2,49.6,2020,03,12,37.54345404084316,127.0521453801678,11200,11500,0316,0010,000,6962000,08,49.6,33,310,02,04,07,2020,01,01,6356854.8
2,67.8,2018,02,8,37.56285336043802,126.99751778312621,11140,13200,0050,0005,006,13000000,08,67.8,22,210,02,04,07,2020,01,01,21779793.5
1,733.4,2019,09,30,37.51798891351483,127.03606159747899,11680,10800,0106,0022,000,11630000,08,733.4,15,230,02,03,09,2020,01,01,35253613.3
0,387.0,2019,11,7,37.605594547075555,127.0264775700471,11290,13400,0525,0211,909,1267000,08,387.0,16,910,00,00,00,2020,01,01,1447028.4
1,73.0,2016,12,26,37.5809152422212,126.90096113213205,11380,10100,0031,0082,118,3530000,08,73.0,15,150,02,07,03,2020,01,01,2492191.8
2,63.5,2020,11,25,37.56834550690264,126.99601987951547,11140,15700,0192,0004,007,22800000,08,63.5,22,210,02,04,06,2020,01,01,40170708.7
1,168.9,2018,05,30,37.57540273443544,127.01203816001379,11110,17400,0595,0145,915,2355000,08,168.9,14,110,03,07,10,2020,01,01,2942569.6
0,56.0,2018,01,4,37.54599642792948,127.04704490914449,11200,11400,0656,1643,000,1815000,08,56.0,33,910,02,00,00,2020,01,01,4995357.1
0,35.0,2020,12,28,37.53195283152428,127.0040910843263,11170,13100,0647,0048,517,2461000,08,35.0,14,910,00,00,00,2020,01,01,2857142.9
0,57.0,2017,03,2,37.48222543998399,126.93379803562419,11620,10200,0010,0724,645,894300,08,57.0,13,910,00,00,00,2020,01,01,701754.4
0,128.0,2020,06,1,37.58680113493369,126.89237646358697,11380,10100,0345,0006,118,966900,15,128.0,14,910,00,00,00,2020,01,01,2805000.0
2,96.0,2016,02,23,37.660548730041,127.07364619500156,11350,10600,0141,0086,000,3780000,08,96.0,14,210,02,03,06,2020,01,01,5475000.0
2,50.5,2020,03,27,37.559919094702344,126.96607238486567,11140,17100,0156,0089,015,5125000,08,50.5,16,310,02,04,06,2020,01,01,20396039.6
1,185.0,2016,06,14,37.509363690295636,126.86941025808265,11470,10100,0170,0030,507,574200,08,185.0,14,910,02,02,08,2016,01,01,927189.2
0,99.0,2018,06,12,37.48821076345133,126.9120823027707,11590,10900,0618,0064,219,996600,05,99.0,16,910,00,00,00,2020,01,01,1210101.0
1,245.8,2020,07,25,37.52574370659724,127.03677204721444,11680,10700,0646,0019,000,11890000,08,245.8,13,210,02,03,08,2020,01,01,30512611.9
1,116.0,2016,12,27,37.501397339888584,126.87880714356174,11530,10200,0597,0074,207,2825000,08,116.0,33,110,02,04,08,2020,01,01,3318965.5
1,72.0,2018,01,4,37.567684037387984,127.08909293612325,11215,10100,0176,0102,004,2325000,08,181.0,13,130,03,04,08,2020,01,01,2905000.0
0,777.0,2016,08,10,37.43488825680997,127.06162518142514,11650,10400,0556,0002,000,106000,01,777.0,44,720,03,07,12,2020,01,01,180180.2
2,648.0,2016,11,1,37.613713590322206,126.96740891288837,11110,18300,0533,0001,906,2675000,08,638.0,11,110,04,04,07,2020,01,01,1851851.9
1,136.0,2018,02,20,37.54745239709708,127.07246238190037,11215,10700,0197,0000,000,16560000,01,136.0,22,220,02,07,02,2020,01,01,11470588.2
1,92.0,2016,06,29,37.54542083449663,126.9415152162064,11440,10800,0368,0001,000,4190000,08,347.0,14,150,02,03,10,2020,01,01,5326087.0
4,106.0,2019,01,4,37.563252118594725,127.13316242280987,11740,10700,0116,0056,107,909700,01,106.0,44,510,02,07,01,2020,01,01,924528.3
3,89.9,2016,06,14,37.47300700792852,126.88683642941285,11545,10100,0238,0074,510,3129000,08,89.9,33,430,02,01,04,2020,01,01,6674082.3
0,99.0,2017,05,17,37.57387769491377,126.83763896064912,11500,10500,0006,0007,105,2630000,01,99.0,33,160,02,04,08,2020,01,01,5226464.6
2,218.6,2020,07,27,37.48945259112246,126.90416233570159,11560,13300,0990,0052,710,5090000,08,218.6,15,310,02,02,07,2020,01,01,14181152.8
1,34.0,2016,07,25,37.559717964898105,126.960540234252,11410,11000,0401,0000,001,3631000,08,34.0,14,110,03,04,11,2020,01,01,4411764.7
0,107.0,2019,10,4,37.56358310495628,126.80726126467727,11500,10900,0612,0239,902,986700,01,107.0,16,910,00,00,00,2020,01,01,1869158.9
2,51.1,2019,05,9,37.56156475483962,126.95771780788121,11410,11000,0118,0005,001,4428000,08,51.1,14,140,03,04,07,2020,01,01,6892367.9
4,65.3,2020,09,8,37.59714520202883,126.90998911323607,11380,10900,0029,0192,115,3588000,08,65.3,16,210,03,02,01,2020,01,01,11516385.9
1,210.0,2016,06,14,37.509639811603535,126.86970227718594,11470,10100,0170,0020,507,574200,28,210.0,14,910,02,07,08,2016,01,01,927190.5
1,46.0,2016,12,27,37.50145888631835,126.87872838006736,11530,10200,0597,0058,207,2825000,08,46.0,33,110,02,04,08,2020,01,01,3326087.0
2,78.8,2020,07,9,37.56183176861721,126.98952648137838,11140,12500,0053,0016,003,12100000,08,78.8,22,230,02,03,06,2020,01,01,39612690.4
1,52.0,2016,10,3,37.5013164929965,126.96206397792577,11590,10500,0077,0042,209,4210000,08,52.0,14,110,03,04,08,2020,01,01,2500000.0
2,82.6,2019,05,31,37.562906706436145,126.99734233532828,11140,13200,0048,0003,006,13000000,08,82.6,22,210,02,04,07,2020,01,01,13585956.4
0,42.0,2020,05,20,37.47249054417401,126.92209683157033,11620,10200,0626,0052,775,937200,05,42.0,14,910,00,00,00,2020,01,01,2666666.7
1,38.0,2019,12,27,37.59399085546389,126.9920068541709,11290,10100,0224,0080,901,2284000,05,38.0,11,110,03,07,10,2020,01,01,8052631.6
0,36.0,2016,12,6,37.591883442167564,127.06215007527076,11230,10900,0180,0114,001,1052000,08,36.0,14,910,00,00,00,2020,01,01,2222222.2
1,173.6,2020,02,28,37.55678830121807,126.93919900764061,11410,11600,0020,0081,000,5385000,08,173.6,22,110,03,04,08,2020,01,01,19873271.9
1,185.0,2020,01,23,37.56329505018792,126.80788657194407,11500,10900,0612,0107,902,3642000,08,185.0,23,160,02,07,10,2020,01,01,10590810.8
1,96.9,2020,12,14,37.561285208798544,126.96066948977956,11410,10200,0031,0069,000,2965000,08,96.9,14,110,04,04,10,2020,01,01,10319917.4
1,116.0,2016,11,18,37.61765776286445,127.00251135950619,11290,13300,0966,0150,908,1945000,08,116.0,14,110,02,04,08,2020,01,01,3050000.0
0,46.0,2019,06,10,37.614298368806445,127.04754482697699,11290,13800,0232,0122,913,976800,08,46.0,14,910,00,00,00,2020,01,01,1552608.7
2,471.7,2020,09,3,37.66193765809738,127.04175854499144,11320,10600,0677,0021,001,3882000,08,471.7,15,210,02,04,07,2020,01,01,5776976.9
2,56.2,2016,03,24,37.592013120389204,127.01641201543785,11290,10800,0086,0000,903,6498000,08,56.2,22,210,02,03,06,2020,01,01,17793594.3
3,51.1,2020,08,28,37.48963159166962,126.90527721631678,11560,13300,0989,0016,700,5415000,08,51.1,15,210,02,04,04,2020,01,01,8808610.6
3,98.0,2018,06,20,37.578122673910485,127.04305831054202,11230,10200,0786,0001,000,9000000,08,98.0,22,320,02,04,05,2020,01,01,13833775.5
4,92.0,2019,10,8,37.611076784497925,126.97747356848906,11110,18300,0113,0009,906,1281000,08,92.0,14,910,00,00,00,2020,01,01,3263369.6
3,43.4,2016,08,31,37.559814841021634,126.98350314142692,11140,12200,0010,0027,003,18410000,08,43.4,22,220,02,04,04,2020,01,01,46668202.8
0,86.0,2019,03,15,37.5678281722364,126.9942572174645,11140,15600,0057,0000,007,23400000,08,86.0,22,210,02,04,05,2020,01,01,11552790.7
2,48.0,2019,07,15,37.59892294364998,127.0361940247798,11290,13500,0003,1540,910,3640000,08,33.0,14,310,02,01,06,2020,01,01,4006666.7
4,959.0,2018,12,20,37.605635385784566,127.06704378750757,11230,11000,0211,0005,003,3960000,01,959.0,14,330,02,04,02,2020,01,01,5991658.0
3,362.0,2016,09,8,37.567619458467554,126.98937983110596,11140,11000,0047,0005,003,28300000,08,362.0,22,230,02,01,06,2020,01,01,43071933.7
1,66.0,2016,10,17,37.55228336886311,126.96225327262508,11440,10100,0386,0067,000,3580000,08,66.0,14,140,04,07,08,2020,01,01,6060606.1
1,77.0,2018,03,9,37.58115261833462,126.94978334944372,11410,11100,0064,0125,002,3400000,08,77.0,14,150,03,02,02,2020,01,01,2975064.9
1,365.6,2020,08,18,37.67621290510361,127.04429392531901,11320,10800,0600,0029,001,2646000,08,365.6,16,330,02,03,08,2020,01,01,6649343.5
1,116.5,2020,04,10,37.515067147464904,127.05881441434826,11680,10500,0076,0019,000,12430000,08,116.5,14,210,02,01,08,2020,01,01,22523605.2
4,191.7,2020,03,20,37.536346023370726,126.96259232648381,11170,11300,0073,0011,506,5778000,08,191.7,15,150,02,08,01,2020,01,01,10386019.8
0,132.0,2019,09,11,37.46470794781767,127.08448094178765,11650,10900,0001,1479,000,436100,02,132.0,44,510,02,07,12,2020,01,01,793030.3
2,130.2,2016,08,25,37.55815786929042,126.94204748270003,11410,11200,0110,0051,000,5860000,08,130.2,15,210,02,01,06,2020,01,01,5990783.4
1,288.1,2016,07,4,37.530622118617046,127.08164228902241,11215,10500,0651,0026,002,4779000,08,288.1,14,330,02,07,07,2020,01,01,4651162.8
0,37.0,2017,04,29,37.5089132083665,126.91513095504507,11560,13200,0201,0069,630,3440000,08,37.0,14,150,03,07,05,2020,01,01,3243243.2
1,57.9,2019,05,14,37.56508692915205,127.03587108580918,11200,10300,0142,0000,000,5840000,08,57.9,16,240,02,04,06,2020,01,01,10362694.3
1,33.1,2016,04,19,37.52360128058519,126.90071687172991,11560,11300,0001,0024,550,3057000,08,33.1,33,110,02,02,10,2020,01,01,4531722.1
2,162.0,2020,07,20,37.568117862937065,126.96513460931716,11110,17600,0032,0004,908,8811000,08,162.0,15,240,02,04,06,2020,01,01,21604938.3
0,33.0,2017,02,13,37.49838111961736,126.92523635100976,11590,10900,0361,0033,220,6000000,02,33.0,16,140,02,04,05,2020,01,01,3636363.6
1,34.0,2019,07,5,37.54372941365787,127.0157859575804,11200,11300,0306,0016,000,3237000,08,34.0,14,110,02,04,10,2020,01,01,20588235.3
2,116.0,2020,06,16,37.5070136638399,126.88353918580289,11530,10100,0419,0024,101,4579000,08,116.0,16,160,02,04,07,2020,01,01,11991379.3
1,961.0,2019,08,26,37.46136518509956,127.04414106915877,11650,10400,0014,0001,000,713000,01,961.0,44,510,02,07,08,2020,01,01,1207076.0
1,48.0,2016,08,25,37.539310081412516,126.9889534541627,11170,13000,0277,0010,516,5432000,08,48.0,14,110,02,04,10,2020,01,01,2500000.0
0,96.0,2018,05,9,37.590209122923085,127.05688039008757,11230,10900,0191,0035,001,1336000,08,96.0,16,910,00,00,00,2020,01,01,11479166.7
1,59.8,2018,06,15,37.50158843632042,126.95081122627865,11590,10300,0423,0005,203,2954000,08,228.7,14,110,03,04,10,2020,01,01,6036789.3
1,337.0,2019,02,25,37.45250555073027,127.06565322617898,11650,10900,0100,0000,000,2826000,08,337.0,11,110,03,04,10,2020,01,01,4033946.6
3,57.0,2018,04,2,37.45085810205105,126.90811475737453,11545,10300,0910,0001,600,7029000,08,57.0,16,230,02,02,04,2020,01,01,8664736.8
1,425.1,2016,07,12,37.53672023208317,127.13825544861744,11740,10500,0413,0008,105,6437000,08,425.1,22,240,02,07,09,2020,01,01,5655140.0
3,344.0,2019,12,26,37.54535690882854,126.92092988014315,11440,11800,0038,0001,000,5472000,08,344.0,14,320,02,07,05,2020,01,01,11898255.8
4,340.8,2016,11,24,37.55766726275754,127.0771764550077,11215,10900,0473,0026,000,11420000,08,303.9,22,220,02,04,02,2020,01,01,14338057.5
1,385.4,2016,06,1,37.51538410019652,127.11387008815986,11710,11100,0049,0007,008,12280000,08,365.7,22,220,02,03,09,2020,01,01,14270887.4
1,113.6,2016,10,1,37.59309363877972,127.08124689706524,11260,10200,0122,0088,010,2697000,08,113.6,14,110,02,04,08,2020,01,01,2376760.6
4,357.0,2019,07,16,37.553858467395266,126.93738462897325,11440,11000,0031,0216,000,16800000,08,357.0,22,230,02,03,01,2020,01,01,27170868.3
0,237.0,2017,01,3,37.58501010684155,126.89470082628358,11380,10100,0359,0028,118,1118000,15,237.0,14,910,00,00,00,2020,01,01,2410000.0
1,147.9,2016,11,8,37.57719258980252,126.95324251380295,11410,10900,0001,0353,000,2183000,08,147.9,14,110,03,07,10,2020,01,01,2316294.8
0,274.0,2019,10,31,37.50652374913056,126.94512853003579,11590,10200,0024,0013,204,1244000,01,274.0,14,910,00,00,00,2020,01,01,2771861.3
4,342.7,2018,04,4,37.544964338666794,126.83758214429795,11500,10300,1026,0025,305,5632000,08,342.7,15,240,02,04,01,2020,01,01,7586810.6
0,205.0,2020,04,1,37.66422693063535,127.07783102781022,11350,10500,0095,0416,013,980100,28,205.0,16,910,02,07,00,2020,01,01,3996585.4
0,60.0,2017,05,25,37.6271016015306,127.03819240659017,11305,10200,0148,0031,606,2321000,08,60.0,14,130,02,07,06,2020,01,01,5000000.0
1,324.7,2020,10,12,37.53607165834569,127.13821152346071,11740,10500,0413,0017,105,5930000,08,324.7,22,210,02,02,08,2020,01,01,19402525.4
1,63.0,2018,03,7,37.50090732323557,127.15222563369112,11710,11400,0156,0309,006,2763000,08,63.0,13,150,02,04,08,2020,01,01,3174603.2
2,47.0,2019,01,31,37.60115491915079,127.10923530835665,11260,10500,0094,0041,016,2751000,08,47.0,14,150,02,04,06,2020,01,01,4382978.7
3,77.0,2018,11,29,37.5975174157845,127.03938296488452,11290,13500,0003,1357,910,3868000,08,77.0,14,310,02,04,04,2020,01,01,4792207.8
2,79.0,2019,06,28,37.570834699782985,126.83960593107267,11500,10400,0251,0010,401,3675000,08,79.0,33,130,02,07,06,2020,01,01,15189873.4
2,410.0,2020,12,2,37.61202227217993,127.03176740762439,11305,10100,0044,0019,545,2306000,08,410.0,16,910,02,02,07,2020,01,01,6048780.5
1,123.0,2020,06,1,37.58612843225874,126.89395664157782,11380,10100,0350,0024,118,2547000,08,123.0,14,150,04,07,10,2020,01,01,2565040.7
1,273.0,2020,11,2,37.615651924507,126.99889259284863,11290,13300,0833,0034,908,1625000,05,273.0,13,150,03,08,08,2020,01,01,1648351.6
0,236.0,2018,01,12,37.55864642283069,127.13448758271669,11740,10700,0264,0087,107,704700,08,236.0,44,510,02,07,12,2020,01,01,593220.3
1,550.6,2020,01,8,37.49309023274781,127.03128959657315,11680,10100,0832,0023,000,11310000,08,550.6,22,210,02,01,08,2020,01,01,27243007.6
0,69.0,2017,04,5,37.497478788787234,126.98269089749425,11590,10600,0097,0038,214,3950000,08,69.0,14,150,02,07,08,2020,01,01,1500000.0
3,291.6,2016,08,16,37.481464560823454,127.00533563890974,11650,10800,1487,0116,000,8300000,08,291.6,15,240,02,02,05,2020,01,01,10408093.3
4,50.6,2016,06,29,37.52880419123107,126.89815382124593,11560,11400,0032,0005,560,6160000,08,50.6,33,210,02,02,03,2020,01,01,7961660.1
0,42.9,2019,11,26,37.5520286677777,127.128996353079,11740,10700,0500,0034,107,1174000,08,42.9,16,910,00,00,00,2020,01,01,3729603.7
1,194.0,2016,07,27,37.61176633156505,127.0578698147579,11290,13800,0050,0040,913,3307000,08,194.0,23,150,02,04,08,2020,01,01,5977422.7
0,79.0,2017,11,3,37.542303567266224,126.9372811927873,11440,10500,0494,0002,000,1646000,16,79.0,14,910,02,07,09,2020,01,01,3499367.1
1,55.0,2018,06,27,37.577566687640335,127.02020823863903,11110,17500,0585,0000,916,2329000,08,55.0,14,150,03,07,08,2020,01,01,4055090.9
1,83.0,2020,01,13,37.502525066295114,126.85315872958071,11530,10600,0162,0022,602,844800,28,83.0,14,910,03,03,10,2020,01,01,1421807.2
3,294.6,2019,01,9,37.48504555047015,126.92408604005692,11620,10200,1465,0012,685,5570000,08,294.6,14,330,02,03,05,2020,01,01,9164969.5
0,207.0,2016,12,6,37.60203449617589,126.96548475139105,11110,18300,0001,0001,906,42300,05,207.0,44,730,03,04,12,2020,01,01,169082.1
2,544.4,2016,02,26,37.53840491058158,127.06866140414395,11215,10500,0005,0004,001,7037000,08,544.4,14,330,02,02,07,2020,01,01,9313005.1
1,201.1,2016,04,16,37.57753515410682,126.96157393013202,11110,18700,0046,1901,907,2131000,08,201.1,13,150,04,03,10,2020,01,01,2337145.7
2,51.0,2016,02,26,37.49590954142799,126.84280065614489,11530,10800,0315,0014,800,5644000,08,51.0,22,210,02,07,06,2020,01,01,9607843.1
1,40.7,2016,04,27,37.57087809537931,127.02969369478384,11230,10200,0251,0055,003,3760000,08,40.7,15,150,02,04,02,2020,01,01,2211302.2
1,73.0,2018,08,17,37.585281397007535,126.89895126292329,11380,10100,0009,0028,118,2858000,08,73.0,14,110,03,04,10,2020,01,01,7050684.9
0,76.0,2017,01,10,37.47423853578087,126.93336891897627,11620,10200,0403,0006,745,1135000,01,76.0,14,910,00,00,00,2020,01,01,1007631.6
1,47.0,2020,09,15,37.59320606706286,126.99212669651303,11290,10100,0224,0094,901,2330000,08,47.0,11,110,03,04,10,2020,01,01,3297872.3
1,91.0,2018,01,11,37.61123337175825,126.90989279632696,11380,10500,0159,0007,107,2298000,08,91.0,13,150,02,05,08,2020,01,01,3065934.1
2,45.0,2016,11,2,37.537617168267836,127.1277317914926,11740,10900,0453,0058,109,10600000,08,45.0,22,210,02,04,06,2020,01,01,13240222.2
1,243.0,2020,08,26,37.67943535660698,127.03677237356078,11320,10800,0431,0096,001,1541000,28,243.0,13,150,02,07,10,2020,01,01,1810699.6
1,82.0,2020,05,22,37.54187062804698,127.1275614382551,11740,10900,0423,0288,109,6780000,08,82.0,16,310,02,03,08,2020,01,01,9369390.2
1,194.0,2019,06,10,37.50777617617479,126.91623990009377,11560,13200,0147,0084,630,3440000,05,194.0,14,150,03,07,05,2020,01,01,3930000.0
4,425.0,2019,09,26,37.461413728465615,127.05071196513065,11650,11000,0182,0008,000,1346000,02,425.0,44,510,02,07,02,2020,01,01,2068235.3
1,85.0,2016,11,22,37.51718103308398,126.91321329122965,11560,10200,0065,0002,535,4855000,08,241.0,16,160,02,04,08,2020,01,01,7741176.5
4,120.8,2020,03,20,37.51548745647583,127.05901179727188,11680,10500,0076,0004,000,26020000,08,120.8,22,230,02,03,01,2020,01,01,67195612.6
1,40.0,2019,07,18,37.537199728092766,127.0521156112535,11200,11500,0486,0000,000,6336000,08,40.0,15,110,02,04,08,2020,01,01,9435000.0
